pageid,pagetitle,revisionid,timestamp,comment,type,editentity,parentid
295,Q159,4279,2017-01-25T17:01:50Z,"b""/* wbcreateclaim-create:1| */ [[Property:P1617]]: 39267b85-1784-4f4b-80ed-f8cb4a35f337, #mix'n'match""",create,claim,435691271
295,Q159,288472,2017-01-28T10:32:16Z,"b'/* wbsetclaim-create:2||1 */ [[Property:P1333]]: 42\xc2\xb017\'24""N, 130\xc2\xb042\'0""E'",create,claim,436090504
295,Q159,288472,2017-01-28T10:33:19Z,"b'/* wbsetclaim-create:2||1 */ [[Property:P1334]]: 66\xc2\xb04\'48""N, 169\xc2\xb039\'0""W'",create,claim,437601801
295,Q159,288472,2017-01-28T10:34:24Z,"b'/* wbsetclaim-create:2||1 */ [[Property:P1335]]: 54\xc2\xb027\'36""N, 19\xc2\xb038\'24""E'",create,claim,437602521
295,Q159,2785724,2017-01-29T00:40:04Z,b'/* wbremoveclaims-remove:1| */ [[Property:P3417]]: Russi',remove,claim,437603208
296,Q160,940976,2016-10-17T08:43:22Z,"b'/* wbcreateclaim-create:1| */ [[Property:P1843]]: \xd8\xad\xd9\x8a\xd8\xaa\xd8\xa7\xd9\x86\xd9\x8a\xd8\xa7\xd8\xaa, #quickstatements'",create,claim,382868830
296,Q160,940976,2016-10-17T08:43:33Z,"b'/* wbsetreference-add:2| */ [[Property:P1843]]: \xd8\xad\xd9\x8a\xd8\xaa\xd8\xa7\xd9\x86\xd9\x8a\xd8\xa7\xd8\xaa, #quickstatements'",add,reference,390373404
296,Q160,940976,2016-10-17T08:43:44Z,"b'/* wbcreateclaim-create:1| */ [[Property:P1843]]: \xd0\x9a\xd0\xb8\xd1\x82\xd0\xbe\xd0\xbf\xd0\xbe\xd0\xb4\xd0\xbe\xd0\xb1\xd0\xbd\xd0\xb8, #quickstatements'",create,claim,390373446
296,Q160,940976,2016-10-17T08:43:55Z,"b'/* wbsetreference-add:2| */ [[Property:P1843]]: \xd0\x9a\xd0\xb8\xd1\x82\xd0\xbe\xd0\xbf\xd0\xbe\xd0\xb4\xd0\xbe\xd0\xb1\xd0\xbd\xd0\xb8, #quickstatements'",add,reference,390373478
296,Q160,940976,2016-10-17T08:44:06Z,"b'/* wbcreateclaim-create:1| */ [[Property:P1843]]: Kytovci, #quickstatements'",create,claim,390373517
296,Q160,940976,2016-10-17T08:44:17Z,"b'/* wbsetreference-add:2| */ [[Property:P1843]]: Kytovci, #quickstatements'",add,reference,390373552
296,Q160,940976,2016-10-17T08:44:29Z,"b'/* wbcreateclaim-create:1| */ [[Property:P1843]]: Morfil, #quickstatements'",create,claim,390373587
296,Q160,940976,2016-10-17T08:44:41Z,"b'/* wbsetreference-add:2| */ [[Property:P1843]]: Morfil, #quickstatements'",add,reference,390373617
296,Q160,940976,2016-10-17T08:44:53Z,"b'/* wbcreateclaim-create:1| */ [[Property:P1843]]: Hvaler, #quickstatements'",create,claim,390373656
296,Q160,940976,2016-10-17T08:45:05Z,"b'/* wbsetreference-add:2| */ [[Property:P1843]]: Hvaler, #quickstatements'",add,reference,390373708
296,Q160,940976,2016-10-17T08:45:17Z,"b'/* wbcreateclaim-create:1| */ [[Property:P1843]]: Wale, #quickstatements'",create,claim,390373753
296,Q160,940976,2016-10-17T08:45:28Z,"b'/* wbsetreference-add:2| */ [[Property:P1843]]: Wale, #quickstatements'",add,reference,390373798
296,Q160,940976,2016-10-17T08:45:39Z,"b'/* wbcreateclaim-create:1| */ [[Property:P1843]]: Cetaceans, #quickstatements'",create,claim,390373844
296,Q160,940976,2016-10-17T08:45:50Z,"b'/* wbsetreference-add:2| */ [[Property:P1843]]: Cetaceans, #quickstatements'",add,reference,390373889
296,Q160,940976,2016-10-17T08:46:03Z,"b'/* wbcreateclaim-create:1| */ [[Property:P1843]]: Cet\xc3\xa1ceos, #quickstatements'",create,claim,390373927
296,Q160,940976,2016-10-17T08:46:14Z,"b'/* wbsetreference-add:2| */ [[Property:P1843]]: Cet\xc3\xa1ceos, #quickstatements'",add,reference,390373969
296,Q160,940976,2016-10-17T08:46:26Z,"b'/* wbcreateclaim-create:1| */ [[Property:P1843]]: Valaat, #quickstatements'",create,claim,390374009
296,Q160,940976,2016-10-17T08:46:37Z,"b'/* wbsetreference-add:2| */ [[Property:P1843]]: Valaat, #quickstatements'",add,reference,390374050
296,Q160,940976,2016-10-17T08:46:48Z,"b'/* wbcreateclaim-create:1| */ [[Property:P1843]]: C\xc3\xa9tac\xc3\xa9, #quickstatements'",create,claim,390374088
296,Q160,940976,2016-10-17T08:47:00Z,"b'/* wbsetreference-add:2| */ [[Property:P1843]]: C\xc3\xa9tac\xc3\xa9, #quickstatements'",add,reference,390374111
296,Q160,940976,2016-10-17T08:47:11Z,"b'/* wbcreateclaim-create:1| */ [[Property:P1843]]: \xd7\x9c\xd7\x95\xd7\x95\xd7\x99\xd7\x99\xd7\xaa\xd7\xa0\xd7\x90\xd7\x99\xd7\x9d, #quickstatements'",create,claim,390374145
