pageid,pagetitle,revisionid,timestamp,comment,type,editentity,parentid
277,Q142,1360441,2017-01-09T23:22:16Z,"b""/* wbsetdescription-set:1|fr */ \xc3\x89tat d'Europe occidentale""",set,description,425378786
277,Q142,125965,2017-01-10T09:18:32Z,"b'/* wbsetsitelink-set-both:2|hakwiki */ Fap-koet, [[Q17437796]]'",set,sitelink,426125331
277,Q142,2123122,2017-01-10T09:26:38Z,b'/* wbsetdescription-add:1|hr */ dr\xc5\xbeava zapadne Europe',add,description,426271559
277,Q142,427923238,2017-01-12T21:17:11Z,b'/* wbsetlabel-set:1|en */ Es puto',set,label,426274176
277,Q142,94516,2017-01-12T21:20:26Z,b'',,,427923238
277,Q142,430840949,2017-01-16T09:48:39Z,b'/* wbsetdescription-add:1|bs */ dr\xc5\xbeava u Zapadnoj Evropi',add,description,427924599
277,Q142,431432331,2017-01-17T01:18:17Z,b'/* wbsetlabel-set:1|en */ Franchute',set,label,430840949
277,Q142,431432363,2017-01-17T01:18:21Z,b'/* wbsetdescription-set:1|en */ baggete',set,description,431432331
277,Q142,178040,2017-01-17T01:23:44Z,b'/* restore:0||430840949|109.175.55.252 */ revert vandalism',revert,vandalism,431432363
277,Q142,469872,2017-01-23T17:36:56Z,b'/* wbsetsitelink-add:1|nlwikinews */ Categorie:Frankrijk',add,sitelink,431435299
277,Q142,2787312,2017-01-24T12:04:30Z,b'/* wbsetaliases-add:1|en */ \xf0\x9f\x87\xab\xf0\x9f\x87\xb7',add,aliase,435238535
277,Q142,4279,2017-01-25T16:59:35Z,"b""/* wbcreateclaim-create:1| */ [[Property:P1617]]: 61ef4416-de68-49ff-9c97-e0779dafd9d2, #mix'n'match""",create,claim,435606630
277,Q142,8831,2017-01-27T14:13:24Z,b'/* undo:0||435606630|07Mehrdad */',undo,,436090073
277,Q142,437204633,2017-01-27T22:24:01Z,"b'/* wbsetlabeldescriptionaliases:3|en */ jordan, republic in asia, FR, R\xc3\xa9publique fran\xc3\xa7aise, La France, fr, French Republic, Republic of France'",,label,436828246
277,Q142,437205627,2017-01-27T22:26:18Z,b'/* wbsetaliases-set:1|en */ amman jordan',set,aliase,437204633
277,Q142,1,2017-01-27T22:30:16Z,b'Reverted edits by [[Special:Contributions/212.34.20.225|212.34.20.225]] ([[User talk:212.34.20.225|talk]]) to last revision by [[User:Infovarius|Infovarius]]',revert,,437205627
277,Q142,288472,2017-01-28T10:06:24Z,"b'/* wbsetclaim-create:2||1 */ [[Property:P1333]]: 42\xc2\xb019\'48""N, 2\xc2\xb031\'48""E'",create,claim,437207188
277,Q142,288472,2017-01-28T10:07:12Z,"b'/* wbsetclaim-create:2||1 */ [[Property:P1334]]: 48\xc2\xb058\'12""N, 8\xc2\xb013\'48""E'",create,claim,437585725
277,Q142,288472,2017-01-28T10:08:13Z,"b'/* wbsetclaim-create:2||1 */ [[Property:P1335]]: 48\xc2\xb024\'36""N, 4\xc2\xb048\'0""W'",create,claim,437586165
277,Q142,12915,2017-01-30T17:53:35Z,b'/* wbsetlabel-add:1|zh-mo */ \xe6\xb3\x95\xe5\x9c\x8b',add,label,437586760
277,Q142,12915,2017-01-30T17:53:40Z,b'/* wbsetlabel-add:1|zh-my */ \xe6\xb3\x95\xe5\x9b\xbd',add,label,439495334
277,Q142,12915,2017-01-30T17:53:44Z,b'/* wbsetlabel-add:1|zh-sg */ \xe6\xb3\x95\xe5\x9b\xbd',add,label,439495377
277,Q142,12915,2017-01-30T17:53:48Z,b'/* wbsetdescription-set:1|zh */ \xe6\xac\xa7\xe6\xb4\xb2\xe5\x9b\xbd\xe5\xae\xb6',set,description,439495410
277,Q142,12915,2017-01-30T17:53:52Z,b'/* wbsetdescription-set:1|zh-tw */ \xe6\xad\x90\xe6\xb4\xb2\xe5\x9c\x8b\xe5\xae\xb6',set,description,439495438
277,Q142,12915,2017-01-30T17:53:56Z,b'/* wbsetdescription-add:1|zh-mo */ \xe6\xad\x90\xe6\xb4\xb2\xe5\x9c\x8b\xe5\xae\xb6',add,description,439495464
277,Q142,12915,2017-01-30T17:54:29Z,b'/* wbsetdescription-add:1|zh-cn */ \xe6\xac\xa7\xe6\xb4\xb2\xe5\x9b\xbd\xe5\xae\xb6',add,description,439495495
277,Q142,12915,2017-01-30T17:54:33Z,b'/* wbsetdescription-add:1|zh-my */ \xe6\xac\xa7\xe6\xb4\xb2\xe5\x9b\xbd\xe5\xae\xb6',add,description,439495728
277,Q142,12915,2017-01-30T17:54:37Z,b'/* wbsetdescription-add:1|zh-sg */ \xe6\xac\xa7\xe6\xb4\xb2\xe5\x9b\xbd\xe5\xae\xb6',add,description,439495756
277,Q142,12915,2017-01-30T17:54:41Z,"b'/* wbsetaliases-remove:2|yue */ France, R\xc3\xa9publique fran\xc3\xa7aise'",remove,aliase,439495778
277,Q142,12915,2017-01-30T17:54:44Z,b'/* wbsetaliases-add:1|zh-hant */ \xe6\xb3\x95\xe8\x98\xad\xe8\xa5\xbf',add,aliase,439495806
277,Q142,12915,2017-01-30T17:54:49Z,"b'/* wbsetaliases-add:2|zh-mo */ \xe6\xb3\x95\xe8\x98\xad\xe8\xa5\xbf\xe5\x85\xb1\xe5\x92\x8c\xe5\x9c\x8b, \xe6\xb3\x95\xe8\x98\xad\xe8\xa5\xbf'",add,aliase,439495829
