pageid,pagetitle,revisionid,timestamp,comment,type,editentity,parentid
229,Q98,12915,2017-01-06T07:34:05Z,b'/* wbsetdescription-set:1|zh-hant */ \xe5\x9c\xb0\xe7\x90\x83\xe4\xb8\x8a\xe7\x9a\x84\xe6\xb5\xb7\xe6\xb4\x8b',set,description,424738220
229,Q98,12915,2017-01-06T07:34:06Z,b'/* wbsetdescription-set:1|zh-cn */ \xe5\x9c\xb0\xe7\x90\x83\xe4\xb8\x8a\xe7\x9a\x84\xe6\xb5\xb7\xe6\xb4\x8b',set,description,424738226
229,Q98,12915,2017-01-06T07:34:07Z,b'/* wbsetdescription-set:1|zh-sg */ \xe5\x9c\xb0\xe7\x90\x83\xe4\xb8\x8a\xe7\x9a\x84\xe6\xb5\xb7\xe6\xb4\x8b',set,description,424738231
229,Q98,12915,2017-01-06T07:34:08Z,b'/* wbsetdescription-set:1|zh-my */ \xe5\x9c\xb0\xe7\x90\x83\xe4\xb8\x8a\xe7\x9a\x84\xe6\xb5\xb7\xe6\xb4\x8b',set,description,424738235
229,Q98,12915,2017-01-06T07:34:09Z,b'/* wbsetdescription-set:1|zh-hk */ \xe5\x9c\xb0\xe7\x90\x83\xe4\xb8\x8a\xe7\x9a\x84\xe6\xb5\xb7\xe6\xb4\x8b',set,description,424738240
229,Q98,12915,2017-01-06T07:34:11Z,b'/* wbsetdescription-set:1|zh-tw */ \xe5\x9c\xb0\xe7\x90\x83\xe4\xb8\x8a\xe7\x9a\x84\xe6\xb5\xb7\xe6\xb4\x8b',set,description,424738243
229,Q98,12915,2017-01-06T07:34:12Z,b'/* wbsetdescription-set:1|zh-mo */ \xe5\x9c\xb0\xe7\x90\x83\xe4\xb8\x8a\xe7\x9a\x84\xe6\xb5\xb7\xe6\xb4\x8b',set,description,424738248
229,Q98,2209100,2017-01-09T12:35:44Z,b'/* wbsetsitelink-set:1|sdwiki */ \xd9\xbe\xd9\x8a\xd8\xb3\xd9\x81\xda\xaa \xd8\xb3\xd9\x85\xd9\x86\xda\x8a',set,sitelink,424738252
229,Q98,144812,2017-01-17T10:26:51Z,"b'/* wbcreateclaim-create:1| */ [[Property:P3006]]: 1903, #quickstatements'",create,claim,425903682
230,Q99,1398606,2016-10-03T00:59:06Z,b'/* wbcreateclaim-create:1| */ [[Property:P3221]]: destination/southern-california',create,claim,377969639
230,Q99,124251,2016-10-05T19:17:38Z,b'/* wbsetclaim-create:2||1 */ [[Property:P3106]]: us-news/california',create,claim,383363646
230,Q99,2719836,2016-10-07T01:51:36Z,"b'/* wbcreateclaim-create:1| */ [[Property:P2046]]: 423,970.0 square kilometre'",create,claim,384032104
230,Q99,2719836,2016-10-07T01:51:47Z,"b'/* wbsetreference-add:2| */ [[Property:P2046]]: 423,970.0 square kilometre'",add,reference,384468143
230,Q99,24059,2016-10-23T06:01:15Z,"b'/* wbeditentity-update:0| */ Bot: setting proper label for tg,bh'",update,label,384468154
230,Q99,161984,2016-10-24T01:25:48Z,b'/* wbeditentity-update:0| */ fix language codes: bh -> bho',update,entity,393088185
230,Q99,296229,2016-10-27T18:42:30Z,b'/* clientsitelink-update:0|lrcwiki|lrcwiki:\xda\xa9\xd8\xa7\xd9\x84\xdb\x8c\xd9\x81\xd9\x88\xd8\xb1\xd9\x86\xdb\x8c\xd8\xa7|lrcwiki:\xda\xa9\xd8\xa7\xd9\x84\xd9\x8a\xd9\x81\xd9\x88\xd8\xb1\xd9\x86\xd9\x8a\xd8\xa7 */',update,sitelink,393768219
230,Q99,2743859,2016-10-28T21:09:33Z,b'/* wbsetsitelink-add:1|zh_classicalwiki */ \xe5\x8a\xa0\xe5\x88\xa9\xe7\xa6\x8f\xe5\xb0\xbc\xe4\xba\x9e\xe5\xb7\x9e',add,sitelink,396929200
230,Q99,405602472,2016-11-11T08:14:30Z,b'/* wbsetdescription-add:1|id */ Negara bagian di Amerika Serikat',add,description,397510855
230,Q99,48942,2016-11-13T15:08:32Z,b'/* wbsetclaim-update:2||1 */ [[Property:P214]]: 147680367',update,claim,405602472
230,Q99,201849,2016-12-02T13:43:26Z,"b'/* wbsetsitelink-add:1|fiwikivoyage */ Kalifornia, #quickstatements'",add,sitelink,406769712
230,Q99,2714549,2016-12-10T15:22:27Z,"b'/* wbcreateclaim-create:1| */ [[Property:P1082]]: 3,262,000\xc2\xb10, Added via [[Wikidata:Primary sources tool]]'",create,claim,413154764
230,Q99,2714549,2016-12-10T15:22:29Z,"b'/* wbsetqualifier-add:1| */ [[Property:P585]]: 1918, Added via [[Wikidata:Primary sources tool]]'",add,qualifier,415450709
230,Q99,2714549,2016-12-10T15:22:30Z,"b'/* wbsetreference-add:2| */ [[Property:P1082]]: 3,262,000\xc2\xb10, Added via [[Wikidata:Primary sources tool]]'",add,reference,415450721
230,Q99,2714549,2016-12-10T15:22:38Z,"b'/* wbcreateclaim-create:1| */ [[Property:P1082]]: 864,694\xc2\xb10, Added via [[Wikidata:Primary sources tool]]'",create,claim,415450732
230,Q99,2714549,2016-12-10T15:22:39Z,"b'/* wbsetqualifier-add:1| */ [[Property:P585]]: 1880, Added via [[Wikidata:Primary sources tool]]'",add,qualifier,415450785
230,Q99,2714549,2016-12-10T15:22:59Z,"b'/* wbcreateclaim-create:1| */ [[Property:P1082]]: 3,008,000\xc2\xb10, Added via [[Wikidata:Primary sources tool]]'",create,claim,415450794
230,Q99,2714549,2016-12-10T15:23:00Z,"b'/* wbsetqualifier-add:1| */ [[Property:P585]]: 1915, Added via [[Wikidata:Primary sources tool]]'",add,qualifier,415450924
230,Q99,2714549,2016-12-10T15:23:01Z,"b'/* wbsetreference-add:2| */ [[Property:P1082]]: 3,008,000\xc2\xb10, Added via [[Wikidata:Primary sources tool]]'",add,reference,415450935
230,Q99,2714549,2016-12-10T15:23:19Z,"b'/* wbcreateclaim-create:1| */ [[Property:P1082]]: 1,702,000\xc2\xb10, Added via [[Wikidata:Primary sources tool]]'",create,claim,415450943
230,Q99,2714549,2016-12-10T15:23:20Z,"b'/* wbsetqualifier-add:1| */ [[Property:P585]]: 1903, Added via [[Wikidata:Primary sources tool]]'",add,qualifier,415451062
230,Q99,2714549,2016-12-10T15:24:26Z,"b'/* wbcreateclaim-create:1| */ [[Property:P421]]: [[Q847142]], Added via [[Wikidata:Primary sources tool]]'",create,claim,415451070
230,Q99,2763975,2016-12-14T16:59:51Z,"b'/* wbremoveclaims-remove:1| */ [[Property:P1082]]: 39,144,818\xc2\xb10'",remove,claim,415451523
230,Q99,2763975,2016-12-14T17:00:01Z,"b'/* wbcreateclaim-create:1| */ [[Property:P1082]]: 39,144,818\xc2\xb10, Adding 2015 state population claim'",create,claim,416319330
230,Q99,2763975,2016-12-14T17:00:02Z,b'/* wbsetqualifier-add:1| */ [[Property:P585]]: 2015',add,qualifier,416319348
230,Q99,2763975,2016-12-14T17:00:03Z,b'/* wbsetqualifier-add:1| */ [[Property:P459]]: [[Q637413]]',add,qualifier,416319350
230,Q99,2763975,2016-12-14T17:00:32Z,b'/* wbsetqualifier-add:1| */ [[Property:P585]]: 2015',add,qualifier,416319394
230,Q99,2763975,2016-12-14T17:00:33Z,b'/* wbsetqualifier-add:1| */ [[Property:P459]]: [[Q637413]]',add,qualifier,416319395
230,Q99,2763975,2016-12-14T22:09:02Z,"b'/* wbremoveclaims-remove:1| */ [[Property:P1082]]: 37,253,956\xc2\xb10'",remove,claim,416319397
230,Q99,2763975,2016-12-14T22:09:13Z,"b'/* wbremoveclaims-remove:1| */ [[Property:P1082]]: 33,871,648\xc2\xb10'",remove,claim,416381456
230,Q99,2763975,2016-12-14T22:09:23Z,"b'/* wbremoveclaims-remove:1| */ [[Property:P1082]]: 3,262,000\xc2\xb10'",remove,claim,416381515
230,Q99,2763975,2016-12-14T22:09:32Z,"b'/* wbremoveclaims-remove:1| */ [[Property:P1082]]: 864,694\xc2\xb10'",remove,claim,416381581
230,Q99,2763975,2016-12-14T22:09:42Z,"b'/* wbremoveclaims-remove:1| */ [[Property:P1082]]: 3,008,000\xc2\xb10'",remove,claim,416381648
230,Q99,2763975,2016-12-14T22:09:52Z,"b'/* wbremoveclaims-remove:1| */ [[Property:P1082]]: 1,702,000\xc2\xb10'",remove,claim,416381711
230,Q99,2763975,2016-12-14T22:10:02Z,"b'/* wbremoveclaims-remove:1| */ [[Property:P1082]]: 39,144,818\xc2\xb10'",remove,claim,416381774
230,Q99,2763975,2016-12-14T22:10:13Z,"b'/* wbremoveclaims-remove:1| */ [[Property:P1082]]: 39,144,818\xc2\xb10'",remove,claim,416381840
230,Q99,2763975,2016-12-14T22:10:22Z,"b'/* wbcreateclaim-create:1| */ [[Property:P1082]]: 39,144,818\xc2\xb10, Adding 2015 state population claim'",create,claim,416381911
230,Q99,2763975,2016-12-14T22:10:24Z,b'/* wbsetqualifier-add:1| */ [[Property:P585]]: 2015',add,qualifier,416381964
230,Q99,2763975,2016-12-14T22:10:25Z,b'/* wbsetqualifier-add:1| */ [[Property:P459]]: [[Q637413]]',add,qualifier,416381977
230,Q99,2763975,2016-12-14T22:10:33Z,"b'/* wbsetreference-add:2| */ [[Property:P1082]]: 39,144,818\xc2\xb10'",add,reference,416381981
230,Q99,2763970,2016-12-14T22:17:30Z,b'/* restore:0||416381456|CensusBot */',restore,,416382033
230,Q99,2011954,2016-12-14T22:52:17Z,"b'/* wbsetclaim-update:2||1 */ [[Property:P1082]]: 39,144,818\xc2\xb10'",update,claim,416384688
230,Q99,2763975,2016-12-15T02:29:42Z,"b'/* wbremoveclaims-remove:1| */ [[Property:P1082]]: 39,144,818\xc2\xb10'",remove,claim,416395224
230,Q99,2763975,2016-12-15T02:29:52Z,"b'/* wbremoveclaims-remove:1| */ [[Property:P1082]]: 39,144,818\xc2\xb10'",remove,claim,416457772
230,Q99,2763975,2016-12-15T02:30:02Z,"b'/* wbcreateclaim-create:1| */ [[Property:P1082]]: 39,144,818\xc2\xb10, Adding 2015 state population claim'",create,claim,416457816
230,Q99,2763975,2016-12-15T02:30:03Z,b'/* wbsetqualifier-add:1| */ [[Property:P585]]: 2015',add,qualifier,416457859
