pageid,pagetitle,revisionid,timestamp,comment,type,editentity,parentid
157,Q44,2785724,2017-01-26T22:24:57Z,b'/* wbremoveclaims-remove:1| */ [[Property:P3417]]: PIR',remove,claim,436469551
158,Q45,1398606,2016-10-03T04:32:41Z,b'/* wbcreateclaim-create:1| */ [[Property:P3221]]: destination/portugal',create,claim,377854148
158,Q45,865942,2016-10-04T23:54:29Z,b'/* wbsetaliases-add:1|uk */ \xd0\x9f\xd0\xbe\xd1\x80\xd1\x82\xd1\x83\xd0\xb3\xd0\xb0\xd0\xbb\xd1\x8c\xd1\x81\xd1\x8c\xd0\xba\xd0\xb0 \xd0\xa0\xd0\xb5\xd1\x81\xd0\xbf\xd1\x83\xd0\xb1\xd0\xbb\xd1\x96\xd0\xba\xd0\xb0',add,aliase,383401320
158,Q45,865942,2016-10-04T23:54:56Z,b'/* wbsetsitelink-add:1|ukwikiquote */ \xd0\x9f\xd0\xbe\xd1\x80\xd1\x82\xd1\x83\xd0\xb3\xd0\xb0\xd0\xbb\xd1\x96\xd1\x8f',add,sitelink,383814361
158,Q45,124251,2016-10-05T19:04:35Z,b'/* wbsetclaim-create:2||1 */ [[Property:P3106]]: world/portugal',create,claim,383814442
158,Q45,609373,2016-10-08T10:59:15Z,"b'/* wbcreateclaim-create:1| */ [[Property:P3270]]: 6, #quickstatements'",create,claim,384029207
158,Q45,609373,2016-10-08T10:59:20Z,"b'/* wbsetreference-add:2| */ [[Property:P3270]]: 6, #quickstatements'",add,reference,384904776
158,Q45,609373,2016-10-08T11:15:47Z,"b'/* wbcreateclaim-create:1| */ [[Property:P3271]]: 18, #quickstatements'",create,claim,384904814
158,Q45,609373,2016-10-08T11:15:50Z,"b'/* wbsetreference-add:2| */ [[Property:P3271]]: 18, #quickstatements'",add,reference,384913043
158,Q45,609373,2016-10-08T12:46:54Z,"b'/* wbcreateclaim-create:1| */ [[Property:P2997]]: 18, #quickstatements'",create,claim,384913064
158,Q45,609373,2016-10-08T12:46:57Z,"b'/* wbsetreference-add:2| */ [[Property:P2997]]: 18, #quickstatements'",add,reference,384951781
158,Q45,161984,2016-10-09T14:43:13Z,b'/* wbcreateclaim-create:1| */ [[Property:P3238]]: no value',create,claim,384951798
158,Q45,2336219,2016-10-12T07:03:27Z,b'/* wbeditentity-update:0| */ Added sitelink to [[w:olo:Portugalii]]',update,entity,385521278
158,Q45,609373,2016-10-20T12:41:40Z,"b'/* wbcreateclaim-create:1| */ [[Property:P3000]]: 18, #quickstatements'",create,claim,387185597
158,Q45,609373,2016-10-20T12:41:42Z,"b'/* wbsetqualifier-add:1| */ [[Property:P518]]: [[Q27177113]], #quickstatements'",add,qualifier,391632171
158,Q45,71094,2016-10-21T22:25:46Z,b'/* wbeditentity-update:0| */ BOT:Add labels (Upper case)',update,label,391632180
158,Q45,742954,2016-10-21T22:57:43Z,"b'/* wbcreateclaim-create:1| */ [[Property:P1549]]: Portugalano, #quickstatements'",create,claim,392453811
158,Q45,24059,2016-10-23T05:59:19Z,b'/* wbeditentity-update:0| */ Bot: setting proper label for bh',update,label,392466603
158,Q45,742954,2016-10-23T21:26:28Z,"b'/* wbcreateclaim-create:1| */ [[Property:P1549]]: Portug\xc3\xa4nan, #quickstatements'",create,claim,393087476
158,Q45,161984,2016-10-24T01:25:21Z,b'/* wbeditentity-update:0| */ fix language codes: bh -> bho',update,entity,393556722
158,Q45,507040,2016-10-27T22:21:36Z,b'/* clientsitelink-update:0|gnwiki|gnwiki:Poytuga|gnwiki:Poytuk\xc3\xa1le */',update,sitelink,393767831
158,Q45,99141,2016-10-30T08:34:29Z,"b'/* wbsetclaim-create:2||1 */ [[Property:P2046]]: 92,212\xc2\xb11 square kilometre'",create,claim,397048836
158,Q45,8887,2016-10-31T06:08:48Z,"b""/* wbcreateclaim-create:1| */ [[Property:P3222]]: portugal, #mix'n'match""",create,claim,398257435
158,Q45,161984,2016-10-31T17:32:43Z,b'/* wbeditentity-update:0| */ set unit',update,entity,398757168
158,Q45,161984,2016-10-31T18:04:15Z,b'/* wbeditentity-update:0| */ set unit',update,entity,398958150
158,Q45,161984,2016-10-31T18:07:19Z,b'/* wbeditentity-update:0| */ set unit',update,entity,398968885
158,Q45,161984,2016-10-31T18:09:07Z,b'/* wbeditentity-update:0| */ set unit',update,entity,398970041
158,Q45,1064422,2016-11-05T04:28:09Z,b'/* wbsetclaim-update:2||1 */ [[Property:P122]]: [[Q7270]]',update,claim,398970697
158,Q45,1787661,2016-11-27T10:03:13Z,b'/* wbsetclaim-create:2||1 */ [[Property:P1081]]: 0.645',create,claim,401328175
158,Q45,1787661,2016-11-27T10:03:26Z,b'/* wbsetclaim-create:2||1 */ [[Property:P1081]]: 0.676',create,claim,411809263
158,Q45,1787661,2016-11-27T10:04:14Z,b'/* wbsetclaim-create:2||1 */ [[Property:P1081]]: 0.710',create,claim,411809289
158,Q45,1787661,2016-11-27T10:04:27Z,b'/* wbsetclaim-create:2||1 */ [[Property:P1081]]: 0.759',create,claim,411809399
158,Q45,1787661,2016-11-27T10:04:39Z,b'/* wbsetclaim-create:2||1 */ [[Property:P1081]]: 0.782',create,claim,411809425
158,Q45,1787661,2016-11-27T10:04:54Z,b'/* wbsetclaim-create:2||1 */ [[Property:P1081]]: 0.792',create,claim,411809451
158,Q45,1787661,2016-11-27T10:05:11Z,b'/* wbsetclaim-create:2||1 */ [[Property:P1081]]: 0.819',create,claim,411809488
158,Q45,1787661,2016-11-27T10:05:26Z,b'/* wbsetclaim-create:2||1 */ [[Property:P1081]]: 0.825',create,claim,411809535
158,Q45,1787661,2016-11-27T10:05:38Z,b'/* wbsetclaim-create:2||1 */ [[Property:P1081]]: 0.827',create,claim,411809577
158,Q45,1787661,2016-11-27T10:05:54Z,b'/* wbsetclaim-create:2||1 */ [[Property:P1081]]: 0.828',create,claim,411809613
158,Q45,1787661,2016-11-27T10:06:08Z,b'/* wbsetclaim-create:2||1 */ [[Property:P1081]]: 0.830',create,claim,411809648
158,Q45,1787661,2016-11-27T10:06:20Z,b'/* wbsetclaim-update:2||1|1 */ [[Property:P1081]]: 0.830',update,claim,411809675
158,Q45,1787661,2016-11-27T10:06:26Z,b'/* wbsetclaim-update:2||1|1 */ [[Property:P1081]]: 0.828',update,claim,411809710
158,Q45,1787661,2016-11-27T10:06:31Z,b'/* wbsetclaim-update:2||1|1 */ [[Property:P1081]]: 0.827',update,claim,411809729
158,Q45,1787661,2016-11-27T10:06:36Z,b'/* wbsetclaim-update:2||1|1 */ [[Property:P1081]]: 0.825',update,claim,411809749
158,Q45,1787661,2016-11-27T10:06:49Z,b'/* wbsetclaim-update:2||1|1 */ [[Property:P1081]]: 0.819',update,claim,411809764
158,Q45,1787661,2016-11-27T10:07:00Z,b'/* wbsetclaim-update:2||1|1 */ [[Property:P1081]]: 0.792',update,claim,411809802
158,Q45,1787661,2016-11-27T10:07:11Z,b'/* wbsetclaim-update:2||1|1 */ [[Property:P1081]]: 0.792',update,claim,411809828
158,Q45,1787661,2016-11-27T10:07:20Z,b'/* wbsetclaim-update:2||1|1 */ [[Property:P1081]]: 0.782',update,claim,411809852
158,Q45,1787661,2016-11-27T10:07:26Z,b'/* wbsetclaim-update:2||1|1 */ [[Property:P1081]]: 0.710',update,claim,411809878
158,Q45,507040,2016-11-30T17:15:37Z,b'/* clientsitelink-update:0|gnwiki|gnwiki:Poytuk\xc3\xa1le|gnwiki:Peroret\xc3\xa3 */',update,sitelink,411809891
158,Q45,201849,2016-12-02T13:05:53Z,"b'/* wbsetsitelink-add:1|fiwikivoyage */ Portugali, #quickstatements'",add,sitelink,412641463
158,Q45,1522796,2016-12-03T03:16:40Z,b'/* clientsitelink-remove:1||nahwiki */ Portugal',remove,sitelink,413142370
158,Q45,631372,2016-12-04T09:04:37Z,b'/* wbsetclaim-create:2||1 */ [[Property:P463]]: [[Q1377612]]',create,claim,413354965
158,Q45,414836903,2016-12-08T05:25:33Z,b'/* wbsetsitelink-add:1|enwikiversity */ Comparative law and justice/Portugal',add,sitelink,413851114
158,Q45,4279,2016-12-23T23:24:15Z,"b""/* wbcreateclaim-create:1| */ [[Property:P3417]]: Portugal, #mix'n'match""",create,claim,414836903
158,Q45,54239,2017-01-04T22:45:20Z,b'/* wbsetdescription-add:1|bg */ \xd0\xb4\xd1\x8a\xd1\x80\xd0\xb6\xd0\xb0\xd0\xb2\xd0\xb0 \xd0\xb2 \xd0\xae\xd0\xb6\xd0\xbd\xd0\xb0 \xd0\x95\xd0\xb2\xd1\x80\xd0\xbe\xd0\xbf\xd0\xb0',add,description,419381256
