pageid,pagetitle,revisionid,timestamp,comment,type,editentity,parentid
198,Q71,201849,2016-12-02T20:06:25Z,"b'/* wbsetsitelink-add:1|fiwikivoyage */ Geneve, #quickstatements'",add,sitelink,412665610
198,Q71,2769787,2016-12-05T21:59:05Z,b'/* wbsetlabel-add:1|kk-cyrl */ \xd0\x96\xd0\xb5\xd0\xbd\xd0\xb5\xd0\xb2\xd0\xb0',add,label,413267136
198,Q71,2769787,2016-12-05T21:59:06Z,b'/* wbsetdescription-add:1|kk-cyrl */ \xd0\xa8\xd0\xb2\xd0\xb5\xd0\xb9\xd1\x86\xd0\xb0\xd1\x80\xd0\xb8\xd1\x8f \xd2\x9b\xd0\xb0\xd0\xbb\xd0\xb0\xd1\x81\xd1\x8b',add,description,414172719
198,Q71,2771236,2016-12-06T11:38:36Z,b'/* wbeditentity-update:0| */ Added [gu] label: \xe0\xaa\x9c\xe0\xaa\xbf\xe0\xaa\xa8\xe0\xab\x87\xe0\xaa\xb5\xe0\xaa\xbe',update,label,414172732
198,Q71,2771237,2016-12-07T06:03:17Z,b'/* wbeditentity-update:0| */ Added [te] label: \xe0\xb0\x9c\xe0\xb1\x86\xe0\xb0\xa8\xe0\xb1\x80\xe0\xb0\xb5\xe0\xb0\xbe',update,label,414348960
198,Q71,30667,2016-12-08T12:16:28Z,b'/* wbeditentity-update:0| */ Added [tg-cyrl] label: \xd0\x96\xd0\xb5\xd0\xbd\xd0\xb5\xd0\xb2\xd0\xb0',update,label,414674046
198,Q71,2769006,2016-12-09T20:28:41Z,b'/* wbsetlabel-add:1|si */ \xe0\xb6\xa2\xe0\xb7\x92\xe0\xb6\xb1\xe0\xb7\x93\xe0\xb7\x80\xe0\xb7\x8f',add,label,414885370
198,Q71,2774699,2016-12-15T22:42:04Z,b'/* wbsetlabel-add:1|tk */ \xc5\xbdenewa',add,label,415206380
198,Q71,2732206,2016-12-17T15:57:36Z,"b""/* wbcreateclaim-create:1| */ [[Property:P1417]]: place/Geneve, #mix'n'match""",create,claim,416783968
198,Q71,2732206,2016-12-17T17:08:45Z,"b""/* wbcreateclaim-create:1| */ [[Property:P2468]]: 2z0, #mix'n'match""",create,claim,417489131
198,Q71,734026,2016-12-20T09:04:08Z,"b""/* wbcreateclaim-create:1| */ [[Property:P3222]]: geneve-(kanton), The Distributed Game (2): Mix'n'match game #distributed-game""",create,claim,417527222
198,Q71,24059,2016-12-27T06:24:47Z,"b'/* wbsetclaim-update:2||1 */ [[Property:P2046]]: 15,860,000 square metre'",update,claim,418279582
198,Q71,54239,2017-01-04T23:08:31Z,b'/* wbsetdescription-add:1|bg */ \xd0\xb3\xd1\x80\xd0\xb0\xd0\xb4 \xd0\xb2 \xd0\xa8\xd0\xb2\xd0\xb5\xd0\xb9\xd1\x86\xd0\xb0\xd1\x80\xd0\xb8\xd1\x8f',add,description,421188557
198,Q71,18347,2017-01-08T19:20:03Z,b'/* wbeditentity-update:0| */ Added: [[azb:\xda\x98\xd9\x86\xd9\x88]]',update,entity,424291720
198,Q71,71094,2017-01-13T23:18:47Z,b'/* wbeditentity-update:0| */ BOT:Add labels (Upper case)',update,label,425744278
198,Q71,609373,2017-01-15T14:30:53Z,"b'/* wbsetaliases-add:1|fr */ Geneve, #quickstatements'",add,aliase,428622579
198,Q71,733827,2017-01-21T13:18:40Z,b'/* clientsitelink-update:0|oswiki|oswiki:\xd0\x96\xd0\xb5\xd0\xbd\xd0\xb5\xd0\xb2\xc3\xa6|oswiki:\xd0\x96\xd0\xb5\xd0\xbd\xd0\xb5\xd0\xb2\xd3\x95 */',update,sitelink,430189613
198,Q71,122118,2017-01-21T16:00:13Z,b'/* clientsitelink-update:0|oswiki|oswiki:\xd0\x96\xd0\xb5\xd0\xbd\xd0\xb5\xd0\xb2\xd3\x95|oswiki:\xd0\x96\xd0\xb5\xd0\xbd\xd0\xb5\xd0\xb2\xc3\xa6 */',update,sitelink,433929537
198,Q71,24059,2017-01-29T12:45:51Z,"b'/* wbsetclaim-update:2||1 */ [[Property:P2044]]: 375 metre, Bot: removing manually set upper/lower bounds that equal the amount'",update,claim,434019857
198,Q71,622902,2017-01-29T21:59:23Z,b'/* wbsetaliases-add:1|fr */ GE',add,aliase,438522764
198,Q71,622902,2017-01-29T22:01:49Z,b'/* wbsetaliases-add:1|ja */ \xe3\x82\xb8\xe3\x83\xa5\xe3\x83\x8d\xe3\x83\xbc\xe3\x83\x96',add,aliase,438950855
200,Q72,8887,2016-10-31T06:09:39Z,"b""/* wbcreateclaim-create:1| */ [[Property:P3222]]: zurich, #mix'n'match""",create,claim,376493246
200,Q72,158267,2016-11-04T22:28:45Z,b'/* wbsetsitelink-add:1|ladwiki */ Zurich',add,sitelink,398757408
200,Q72,71094,2016-11-12T08:50:20Z,b'/* wbeditentity-update:0| */ BOT:Add labels (Upper case)',update,label,401185667
200,Q72,143783,2016-11-12T13:29:00Z,b'/* clientsitelink-update:0|thwiki|thwiki:\xe0\xb8\x8b\xe0\xb8\xb9\xe0\xb8\xa3\xe0\xb8\xb4\xe0\xb8\x81|thwiki:\xe0\xb8\x8b\xe0\xb8\xb7\xe0\xb8\xad\xe0\xb8\xa3\xe0\xb8\xb4\xe0\xb8\x8a */',update,sitelink,406069078
200,Q72,143783,2016-11-12T13:29:14Z,b'/* wbsetlabel-set:1|th */ \xe0\xb8\x8b\xe0\xb8\xb7\xe0\xb8\xad\xe0\xb8\xa3\xe0\xb8\xb4\xe0\xb8\x8a',set,label,406200799
200,Q72,143783,2016-11-12T13:29:17Z,b'/* wbsetaliases-add:1|th */ \xe0\xb8\x8b\xe0\xb8\xb9\xe0\xb8\xa3\xe0\xb8\xb4\xe0\xb8\x81',add,aliase,406200873
200,Q72,2768622,2016-11-29T11:45:10Z,b'/* wbsetlabel-add:1|tg-cyrl */ \xd0\x97\xd1\x8e\xd1\x80\xd0\xb8\xd1\x85',add,label,406200887
200,Q72,2768622,2016-11-29T11:48:01Z,b'/* wbsetlabel-add:1|tg */ \xd0\x97\xd1\x8e\xd1\x80\xd0\xb8\xd1\x85',add,label,412283797
200,Q72,2768600,2016-11-29T14:35:14Z,"b'/* wbsetaliases-add:2|sq */ Zyrih, Zyrihu'",add,aliase,412284276
