pageid,pagetitle,revisionid,timestamp,comment,type,editentity,parentid
545,Q349,124251,2016-10-05T16:49:11Z,b'/* wbsetclaim-create:2||1 */ [[Property:P3106]]: uk/sport',create,claim,382213582
545,Q349,201849,2016-10-07T09:40:36Z,"b'/* wbcreateclaim-create:1| */ [[Property:P2959]]: [[Q27131947]], #quickstatements'",create,claim,383996775
545,Q349,66982,2016-10-13T14:18:08Z,b'/* wbsetsitelink-add:1|olowiki */ Sportu',add,sitelink,384535110
545,Q349,2393085,2016-10-16T08:12:18Z,b'/* wbsetlabel-set:1|ko */ \xec\x8a\xa4\xed\x8f\xac\xec\xb8\xa0',set,label,387983172
545,Q349,2393085,2016-10-16T08:12:19Z,b'/* wbsetaliases-set:1|ko */ \xec\x9a\xb4\xeb\x8f\x99',set,aliase,389640411
545,Q349,24059,2016-10-23T06:09:31Z,b'/* wbeditentity-update:0| */ Bot: setting proper label for olo',update,label,389640424
545,Q349,706332,2016-10-27T04:25:16Z,b'/* wbsetclaim-create:2||1 */ [[Property:P1687]]: [[Property:P641]]',create,claim,393091305
545,Q349,2699434,2016-11-18T13:42:55Z,"b'/* wbsetdescription-add:1|el */ \xce\xbc\xce\xbf\xcf\x81\xcf\x86\xce\xad\xcf\x82 \xce\xb1\xce\xbd\xcf\x84\xce\xb1\xce\xb3\xcf\x89\xce\xbd\xce\xb9\xcf\x83\xcf\x84\xce\xb9\xce\xba\xce\xae\xcf\x82 \xce\xb4\xcf\x81\xce\xb1\xcf\x83\xcf\x84\xce\xb7\xcf\x81\xce\xb9\xcf\x8c\xcf\x84\xce\xb7\xcf\x84\xce\xb1\xcf\x82, \xcf\x83\xcf\x85\xce\xbd\xce\xae\xce\xb8\xcf\x89\xcf\x82 \xcf\x83\xcf\x89\xce\xbc\xce\xb1\xcf\x84\xce\xb9\xce\xba\xce\xae\xcf\x82'",add,description,396593661
545,Q349,2685735,2016-11-19T16:33:02Z,b'/* clientsitelink-update:0|lowiki|lowiki:\xe0\xba\x81\xe0\xba\xb4\xe0\xba\xa5\xe0\xba\xb2|lowiki:\xe0\xba\x81\xe0\xba\xb5\xe0\xba\xa5\xe0\xba\xb2 */',update,sitelink,409077680
545,Q349,161984,2016-12-02T21:07:16Z,b'/* wbeditentity-update:0| */ fix language codes: be-x-old -> be-tarask',update,entity,409397432
545,Q349,228692,2016-12-20T12:44:13Z,"b'/* wbcreateclaim-create:1| */ [[Property:P3417]]: Sports, #quickstatements'",create,claim,413290242
545,Q349,228692,2016-12-20T12:44:14Z,"b'/* wbsetreference-add:2| */ [[Property:P3417]]: Sports, #quickstatements'",add,reference,418319946
545,Q349,71615,2016-12-23T21:56:05Z,b'',,,418319949
545,Q349,2767875,2017-01-15T11:00:46Z,b'/* wbsetclaim-create:2||1 */ [[Property:P1889]]: [[Q2312410]]',create,claim,419345206
545,Q349,469872,2017-01-24T18:19:05Z,b'/* wbsetsitelink-add:1|nlwikinews */ Categorie:Sport',add,sitelink,429996107
545,Q349,96972,2017-01-29T12:44:34Z,b'/* wbsetsitelink-add:1|hewikivoyage */ \xd7\xa1\xd7\xa4\xd7\x95\xd7\xa8\xd7\x98',add,sitelink,435696685
545,Q349,469872,2017-01-30T00:43:56Z,b'/* wbsetsitelink-add:1|tawikinews */ \xe0\xae\xaa\xe0\xae\x95\xe0\xaf\x81\xe0\xae\xaa\xe0\xaf\x8d\xe0\xae\xaa\xe0\xaf\x81:\xe0\xae\xb5\xe0\xae\xbf\xe0\xae\xb3\xe0\xaf\x88\xe0\xae\xaf\xe0\xae\xbe\xe0\xae\x9f\xe0\xaf\x8d\xe0\xae\x9f\xe0\xaf\x81',add,sitelink,438521796
546,Q350,250197,2016-11-23T13:55:19Z,b'/* clientsitelink-update:0|hakwiki|hakwiki:Kiam-khi\xc3\xa2u|hakwiki:Cambridge */',update,sitelink,379858163
546,Q350,2719836,2016-12-02T03:13:37Z,b'/* wbcreateclaim-create:1| */ [[Property:P131]]: [[Q21]]',create,claim,410615430
546,Q350,2719836,2016-12-02T03:13:39Z,b'/* wbsetreference-add:2| */ [[Property:P131]]: [[Q21]]',add,reference,413041847
