pageid,pagetitle,revisionid,timestamp,comment,type,editentity,parentid
382,Q240,5138,2016-11-20T16:54:59Z,"b'/* wbsetaliases-set:3|en */ Brussels Region, Brussels Capital Region, Brussels'",set,aliase,409701151
382,Q240,201849,2016-12-02T14:33:55Z,"b'/* wbsetsitelink-add:1|fiwikivoyage */ Bryssel, #quickstatements'",add,sitelink,409701157
382,Q240,4279,2016-12-26T11:41:57Z,"b""/* wbcreateclaim-create:1| */ [[Property:P3417]]: Brussels-Region, #mix'n'match""",create,claim,413174038
382,Q240,24059,2016-12-27T06:30:59Z,b'/* wbsetclaim-update:2||1 */ [[Property:P2046]]: 161.38 square kilometre',update,claim,420826976
382,Q240,5462,2017-01-03T23:28:05Z,b'/* wbeditentity-update:0| */ via [[:w:ru:\xd0\x92\xd0\x9f:WE-F|WE-Framework gadget]] from ruwiki',update,entity,421189534
382,Q240,54239,2017-01-05T21:23:26Z,b'/* wbsetdescription-add:1|bg */ \xd1\x80\xd0\xb5\xd0\xb3\xd0\xb8\xd0\xbe\xd0\xbd \xd0\xb2 \xd0\x91\xd0\xb5\xd0\xbb\xd0\xb3\xd0\xb8\xd1\x8f',add,description,423954184
383,Q241,865942,2016-10-03T00:24:27Z,b'/* wbsetaliases-add:1|uk */ \xd0\xa0\xd0\xb5\xd1\x81\xd0\xbf\xd1\x83\xd0\xb1\xd0\xbb\xd1\x96\xd0\xba\xd0\xb0 \xd0\x9a\xd1\x83\xd0\xb1\xd0\xb0',add,aliase,377557479
383,Q241,865942,2016-10-03T00:24:47Z,b'/* wbsetsitelink-add:1|ukwikiquote */ \xd0\x9a\xd1\x83\xd0\xb1\xd0\xb0',add,sitelink,383355112
383,Q241,1398606,2016-10-03T01:53:50Z,b'/* wbcreateclaim-create:1| */ [[Property:P3221]]: destination/cuba',create,claim,383355196
383,Q241,201849,2016-10-05T18:47:41Z,"b'/* wbcreateclaim-create:1| */ [[Property:P2959]]: [[Q27103638]], #quickstatements'",create,claim,383374522
383,Q241,2719836,2016-10-06T21:30:36Z,"b'/* wbcreateclaim-create:1| */ [[Property:P2046]]: 109,884.0 square kilometre'",create,claim,384025666
383,Q241,2719836,2016-10-06T21:30:46Z,"b'/* wbsetreference-add:2| */ [[Property:P2046]]: 109,884.0 square kilometre'",add,reference,384445823
