pageid,pagetitle,revisionid,timestamp,comment,type,editentity,parentid
363,Q221,1787661,2016-11-27T14:55:31Z,b'/* wbsetclaim-update:2||1|1 */ [[Property:P1081]]: 0.742',update,claim,411865319
363,Q221,1787661,2016-11-27T14:55:36Z,b'/* wbsetclaim-update:2||1|1 */ [[Property:P1081]]: 0.738',update,claim,411865339
363,Q221,412925368,2016-12-01T15:56:51Z,b'/* wbsetlabel-set:1|en */ FYROM',set,label,411865354
363,Q221,412925376,2016-12-01T15:56:54Z,b'/* wbsetlabel-set:1|es */ FYROM',set,label,412925368
363,Q221,129322,2016-12-01T18:40:45Z,b'Reverted edits by [[Special:Contributions/68.195.216.163|68.195.216.163]] ([[User talk:68.195.216.163|talk]]) to last revision by [[User:IvanP|IvanP]]',revert,,412925376
363,Q221,2936,2016-12-03T14:24:50Z,"b'/* wbsetsitelink-add:1|fiwikivoyage */ Makedonia, #quickstatements'",add,sitelink,412950123
363,Q221,1819083,2016-12-15T02:18:18Z,b'/* clientsitelink-update:0|srwiki|srwiki:\xd0\xa0\xd0\xb5\xd0\xbf\xd1\x83\xd0\xb1\xd0\xbb\xd0\xb8\xd0\xba\xd0\xb0 \xd0\x9c\xd0\xb0\xd0\xba\xd0\xb5\xd0\xb4\xd0\xbe\xd0\xbd\xd0\xb8\xd1\x98\xd0\xb0|srwiki:\xd0\x91\xd0\xb8\xd0\xb2\xd1\x88\xd0\xb0 \xd0\x88\xd1\x83\xd0\xb3\xd0\xbe\xd1\x81\xd0\xbb\xd0\xbe\xd0\xb2\xd0\xb5\xd0\xbd\xd1\x81\xd0\xba\xd0\xb0 \xd0\xa0\xd0\xb5\xd0\xbf\xd1\x83\xd0\xb1\xd0\xbb\xd0\xb8\xd0\xba\xd0\xb0 \xd0\x9c\xd0\xb0\xd0\xba\xd0\xb5\xd0\xb4\xd0\xbe\xd0\xbd\xd0\xb8\xd1\x98\xd0\xb0 */',update,sitelink,413542360
363,Q221,121962,2016-12-15T11:38:25Z,b'/* clientsitelink-update:0|srwiki|srwiki:\xd0\x91\xd0\xb8\xd0\xb2\xd1\x88\xd0\xb0 \xd0\x88\xd1\x83\xd0\xb3\xd0\xbe\xd1\x81\xd0\xbb\xd0\xbe\xd0\xb2\xd0\xb5\xd0\xbd\xd1\x81\xd0\xba\xd0\xb0 \xd0\xa0\xd0\xb5\xd0\xbf\xd1\x83\xd0\xb1\xd0\xbb\xd0\xb8\xd0\xba\xd0\xb0 \xd0\x9c\xd0\xb0\xd0\xba\xd0\xb5\xd0\xb4\xd0\xbe\xd0\xbd\xd0\xb8\xd1\x98\xd0\xb0|srwiki:\xd0\xa0\xd0\xb5\xd0\xbf\xd1\x83\xd0\xb1\xd0\xbb\xd0\xb8\xd0\xba\xd0\xb0 \xd0\x9c\xd0\xb0\xd0\xba\xd0\xb5\xd0\xb4\xd0\xbe\xd0\xbd\xd0\xb8\xd1\x98\xd0\xb0 */',update,sitelink,416454507
363,Q221,2769006,2016-12-19T23:59:40Z,b'/* wbsetlabel-add:1|zh-hant */ \xe9\xa6\xac\xe5\x85\xb6\xe9\xa0\x93\xe5\x85\xb1\xe5\x92\x8c\xe5\x9c\x8b',add,label,416618907
363,Q221,2769006,2016-12-19T23:59:49Z,b'/* wbsetlabel-add:1|zh-tw */ \xe9\xa6\xac\xe5\x85\xb6\xe9\xa0\x93\xe5\x85\xb1\xe5\x92\x8c\xe5\x9c\x8b',add,label,418223016
363,Q221,4279,2016-12-24T10:59:21Z,"b""/* wbcreateclaim-create:1| */ [[Property:P3417]]: Republic-of-Macedonia, #mix'n'match""",create,claim,418223048
363,Q221,24059,2016-12-27T06:27:36Z,"b'/* wbsetclaim-update:2||1 */ [[Property:P2046]]: 25,713.0 square kilometre'",update,claim,419591140
363,Q221,1689885,2017-01-03T12:44:29Z,b'/* clientsitelink-update:0|hywiki|hywiki:\xd5\x84\xd5\xa1\xd5\xaf\xd5\xa5\xd5\xa4\xd5\xb8\xd5\xb6\xd5\xab\xd5\xa1|hywiki:\xd5\x84\xd5\xa1\xd5\xaf\xd5\xa5\xd5\xa4\xd5\xb8\xd5\xb6\xd5\xab\xd5\xa1\xd5\xb5\xd5\xab \xd5\x80\xd5\xa1\xd5\xb6\xd6\x80\xd5\xa1\xd5\xba\xd5\xa5\xd5\xbf\xd5\xb8\xd6\x82\xd5\xa9\xd5\xb5\xd5\xb8\xd6\x82\xd5\xb6 */',update,sitelink,421189046
