pageid,pagetitle,revisionid,timestamp,comment,type,editentity,parentid
335,Q193,12915,2016-12-12T16:28:17Z,b'/* wbsetdescription-add:1|zh-hant */ \xe8\xb7\x9d\xe9\x9b\xa2\xe5\xa4\xaa\xe9\x99\xbd\xe7\xac\xac\xe5\x85\xad\xe8\xbf\x91\xe7\x9a\x84\xe8\xa1\x8c\xe6\x98\x9f',add,description,415912857
335,Q193,12915,2016-12-12T16:28:18Z,b'/* wbsetdescription-add:1|zh-my */ \xe8\xb7\x9d\xe7\xa6\xbb\xe5\xa4\xaa\xe9\x98\xb3\xe7\xac\xac\xe5\x85\xad\xe8\xbf\x91\xe7\x9a\x84\xe8\xa1\x8c\xe6\x98\x9f',add,description,415912859
335,Q193,12915,2016-12-12T16:28:20Z,b'/* wbsetdescription-add:1|zh-sg */ \xe8\xb7\x9d\xe7\xa6\xbb\xe5\xa4\xaa\xe9\x98\xb3\xe7\xac\xac\xe5\x85\xad\xe8\xbf\x91\xe7\x9a\x84\xe8\xa1\x8c\xe6\x98\x9f',add,description,415912861
335,Q193,2732335,2017-01-05T17:06:38Z,b'/* wbsetclaim-create:2||1 */ [[Property:P486]]: D018539',create,claim,415912863
335,Q193,54239,2017-01-05T18:14:48Z,b'/* wbsetdescription-add:1|bg */ \xd1\x88\xd0\xb5\xd1\x81\xd1\x82\xd0\xb0\xd1\x82\xd0\xb0 \xd0\xbf\xd0\xbb\xd0\xb0\xd0\xbd\xd0\xb5\xd1\x82\xd0\xb0 \xd0\xb2 \xd0\xa1\xd0\xbb\xd1\x8a\xd0\xbd\xd1\x87\xd0\xb5\xd0\xb2\xd0\xb0\xd1\x82\xd0\xb0 \xd1\x81\xd0\xb8\xd1\x81\xd1\x82\xd0\xb5\xd0\xbc\xd0\xb0',add,description,424545719
335,Q193,1515380,2017-01-22T17:17:17Z,"b'/* wbcreateclaim-create:1| */ [[Property:P2956]]: 699, #quickstatements'",create,claim,424559665
335,Q193,1515380,2017-01-22T17:17:20Z,"b'/* wbsetreference-add:2| */ [[Property:P2956]]: 699, #quickstatements'",add,reference,434561427
335,Q193,197211,2017-01-27T16:30:51Z,b'/* wbsetsitelink-add:1|enwikiversity */ Saturn',add,sitelink,434561451
336,Q194,1517604,2016-11-02T19:32:57Z,b'/* wbsetsitelink-remove:1|mkwiki */ \xd0\x9c\xd1\x83\xd0\xbd\xd0\xbb\xd0\xb5\xd1\x82\xd0\xb8',remove,sitelink,361032642
336,Q194,1517604,2016-11-02T19:33:19Z,b'/* wbsetlabel-set:1|mk */ \xd0\xa1\xd0\xb0\xd1\x82\xd1\x83\xd1\x80\xd0\xbd\xd0\xbe\xd0\xb2\xd0\xb8 \xd0\xbf\xd1\x80\xd1\x81\xd1\x82\xd0\xb5\xd0\xbd\xd0\xb8',set,label,400099764
336,Q194,4279,2016-12-24T19:39:58Z,"b""/* wbcreateclaim-create:1| */ [[Property:P3417]]: Rings-of-Saturn-1, #mix'n'match""",create,claim,400099880
336,Q194,54239,2017-01-05T18:15:08Z,b'/* wbsetlabel-add:1|bg */ \xd0\xbf\xd1\x80\xd1\x8a\xd1\x81\xd1\x82\xd0\xb5\xd0\xbd\xd0\xb8 \xd0\xbd\xd0\xb0 \xd0\xa1\xd0\xb0\xd1\x82\xd1\x83\xd1\x80\xd0\xbd',add,label,419889051
337,Q195,1398606,2016-10-03T01:37:21Z,b'/* wbcreateclaim-create:1| */ [[Property:P3221]]: subject/chocolate',create,claim,382461828
337,Q195,2336219,2016-10-12T06:48:09Z,b'/* wbeditentity-update:0| */ Added sitelink to [[w:olo:\xc5\xa0okoluadu]]',update,entity,383372028
337,Q195,2496,2016-10-17T11:27:46Z,b'/* wbmergeitems-from:0||Q19683911 */ [[MediaWiki:Gadget-Merge.js|merge.js]]',merge,mergeitems,387181519
337,Q195,24059,2016-10-23T06:04:51Z,"b'/* wbeditentity-update:0| */ Bot: setting proper label for olo,sd'",update,label,390400899
337,Q195,5534,2016-10-28T11:23:59Z,b'/* wbsetdescription-set:1|it */ alimento derivato dai semi della pianta del cacao',set,description,393089552
337,Q195,3328,2016-12-24T11:43:02Z,"b""/* wbcreateclaim-create:1| */ [[Property:P3417]]: Chocolate, #mix'n'match""",create,claim,397333680
337,Q195,54239,2017-01-05T18:16:13Z,b'/* wbsetlabel-set:1|bg */ \xd1\x88\xd0\xbe\xd0\xba\xd0\xbe\xd0\xbb\xd0\xb0\xd0\xb4',set,label,419609716
338,Q196,197855,2016-10-16T22:24:32Z,"b'/* wbsetaliases-add:1|nl */ witbuik, The Distributed Game (27): Alias candidates #distributed-game'",add,aliase,381631398
338,Q196,197855,2016-10-16T22:57:34Z,"b'/* wbsetaliases-add:1|nl */ kriek, The Distributed Game (27): Alias candidates #distributed-game'",add,aliase,390145762
338,Q196,24059,2016-10-23T06:04:54Z,b'/* wbeditentity-update:0| */ Bot: setting proper label for azb',update,label,390162403
338,Q196,54239,2017-01-05T18:16:27Z,b'/* wbsetlabel-set:1|bg */ \xd1\x87\xd0\xb5\xd1\x80\xd0\xb5\xd1\x88\xd0\xb0',set,label,393089568
338,Q196,54239,2017-01-05T18:16:28Z,b'/* wbsetdescription-add:1|bg */ \xd0\xbf\xd0\xbb\xd0\xbe\xd0\xb4',add,description,424559837
339,Q197,383636363,2016-10-04T02:48:03Z,b'/* wbsetclaim-update:2||1 */ [[Property:P1051]]: 11132fdf',update,claim,375608514
339,Q197,2496,2016-10-04T06:26:44Z,b'Reverted edits by [[Special:Contributions/70.70.196.183|70.70.196.183]] ([[User talk:70.70.196.183|talk]]) to last revision by [[User:PLbot|PLbot]]',revert,,383636363
339,Q197,124740,2016-10-05T16:35:41Z,b'/* wbsetdescription-add:1|he */ \xd7\x9b\xd7\x9c\xd7\x99 \xd7\x98\xd7\x99\xd7\xa1 \xd7\x9e\xd7\x9e\xd7\x95\xd7\xa0\xd7\xa2 \xd7\x94\xd7\x9e\xd7\xa1\xd7\x95\xd7\x92\xd7\x9c \xd7\x9c\xd7\xa2\xd7\x95\xd7\xa3 \xd7\x91\xd7\x90\xd7\x9e\xd7\xa6\xd7\xa2\xd7\x95\xd7\xaa \xd7\x9b\xd7\xa0\xd7\xa4\xd7\x99\xd7\x99\xd7\x9d \xd7\xa7\xd7\x91\xd7\x95\xd7\xa2\xd7\x95\xd7\xaa \xd7\x94\xd7\x9e\xd7\x99\xd7\x99\xd7\xa6\xd7\xa8\xd7\x95\xd7\xaa \xd7\x9b\xd7\x95\xd7\x97 \xd7\xa2\xd7\x99\xd7\x9c\xd7\x95\xd7\x99',add,description,383654855
